序号	导出表	工作表/模块	原始字段名	字段上下文	标准字段名	字段含义	字段分类	MCP支持程度	MCP工具/类型	MCP对应字段/指标	推荐处理方式	关联键/补充说明	敏感级别	是否需客户导出
1	付款明细导出	付款明细	合同类型		合同类型	合同所属业务类型	合同标识	直接支持	queryContractFinanceData / 付款明细	contractType	优先直接用MCP查询。	与合同编号组成合同唯一键。	普通	否
2	付款明细导出	付款明细	合同编号		合同编号	合同编号	合同标识	直接支持	queryContractFinanceData / 付款明细	contractNo	优先直接用MCP查询。	必须按文本处理并清理首尾空格。	中敏	否
3	付款明细导出	付款明细	签约时间		签约日期	合同签约日期	日期	直接支持	queryContractFinanceData / 付款明细	contractDate	优先直接用MCP查询。	不要与付款日期混用。	普通	否
4	付款明细导出	付款明细	类型		付款类型	实付或退款	状态/分类	直接支持	queryContractFinanceData / 付款明细	付款类型	优先直接用MCP查询。	枚举通常为实付/退款。	普通	否
5	付款明细导出	付款明细	科目		款项类型	付款对应款项科目	财务科目	直接支持	queryContractFinanceData / 付款明细	款项类型	优先直接用MCP查询。		普通	否
6	付款明细导出	付款明细	状态		审核状态	付款审核状态	状态/分类	直接支持	queryContractFinanceData / 付款明细	审核状态	优先直接用MCP查询。	以MCP实际返回值为准。	普通	否
7	付款明细导出	付款明细	金额		付款金额	付款或退款金额	金额	直接支持	queryContractFinanceData / 付款明细	金额	优先直接用MCP查询。	退款是否以负数表示需按实际数据确认。	中敏	否
8	付款明细导出	付款明细	付款方式		付款方式	现金、转账等付款方式	状态/分类	直接支持	queryContractFinanceData / 付款明细	付款方式	优先直接用MCP查询。		普通	否
9	付款明细导出	付款明细	付款人		付款人	实际付款人姓名	人员	直接支持	queryContractFinanceData / 付款明细	付款人	优先直接用MCP查询。		中敏	否
10	付款明细导出	付款明细	备注		付款备注	付款补充说明	文本备注	直接支持	queryContractFinanceData / 付款明细	备注	优先直接用MCP查询。	可能包含个人或业务敏感信息。	中敏	否
11	付款明细导出	付款明细	付款日期		付款日期	实际付款日期	日期	直接支持	queryContractFinanceData / 付款明细	付款日期	优先直接用MCP查询。	MCP说明该类型按付款创建日期筛选，筛选口径与字段日期需核对。	普通	否
12	合同信息导出	合同信息	合同类型		合同类型	合同所属业务类型	合同标识	直接支持	queryContractFinanceData / 合同明细	contractType	直接使用MCP。	与合同编号组成合同唯一键。	普通	否
13	合同信息导出	合同信息	合同编号		合同编号	合同编号	合同标识	直接支持	queryContractFinanceData / 合同明细	contractNo	直接使用MCP。	按文本清理首尾空格，保留前导零。	中敏	否
14	合同信息导出	合同信息	结单状态		结单状态	合同是否结单	状态/分类	直接支持	queryContractFinanceData / 合同明细	finishStatus	直接使用MCP。		普通	否
15	合同信息导出	合同信息	结佣状态		结佣状态	合同是否结佣	状态/分类	直接支持	queryContractFinanceData / 合同明细	status	直接使用MCP。		普通	否
16	合同信息导出	合同信息	业绩分配		业绩分配状态	合同是否完成业绩分配	状态/分类	直接支持	queryContractFinanceData / 合同明细	assignStatus	直接使用MCP。		普通	否
17	合同信息导出	合同信息	产权地址		产权地址	房屋完整产权地址	房屋信息	直接支持	queryContractFinanceData / 合同明细	address	直接使用MCP，输出时建议脱敏到小区/楼栋级。		高敏	否
18	合同信息导出	合同信息	小区名称		小区名称	合同房屋所属小区或楼盘	房屋信息	直接支持	queryContractFinanceData / 合同明细	section	直接使用MCP。		普通	否
19	合同信息导出	合同信息	门牌号		门牌号	楼栋、单元、房号	房屋信息	直接支持	queryContractFinanceData / 合同明细	doorNo	直接使用MCP，公开输出时脱敏。		高敏	否
20	合同信息导出	合同信息	产权面积		产权面积	产权登记面积数值	房屋信息	直接支持	queryContractFinanceData / 合同明细	area	直接使用MCP。	与“面积”文本字段并存。	普通	否
21	合同信息导出	合同信息	用途		房屋用途	住宅、商铺等用途	房屋信息	直接支持	queryContractFinanceData / 合同明细	houseType	直接使用MCP。		普通	否
22	合同信息导出	合同信息	卖方/房东	卖方/房东	业主姓名	卖方或房东姓名	人员	直接支持	queryContractFinanceData / 合同明细	ownerName	直接使用MCP，默认脱敏。		高敏	否
23	合同信息导出	合同信息	身份证	卖方/房东	业主证件号	卖方或房东证件号码	人员敏感信息	直接支持	queryContractFinanceData / 合同明细	ownerCertNo	仅在明确必要时读取，默认脱敏。		高敏	否
24	合同信息导出	合同信息	录入时间	卖方/房东	房源录入时间	对应房源进入系统的时间	日期	直接支持	queryContractFinanceData / 合同明细	houseCreateTime	直接使用MCP。		普通	否
25	合同信息导出	合同信息	带看次数	卖方/房东	房源带看次数	成交前该房源累计带看次数	业务过程	不支持			需要客户导出合同信息表。	MCP合同明细仅明确返回客户带看次数，未暴露房源侧带看次数。	普通	是
26	合同信息导出	合同信息	户型		户型	房屋室厅卫阳台结构	房屋信息	直接支持	queryContractFinanceData / 合同明细	houseLayout	直接使用MCP。		普通	否
27	合同信息导出	合同信息	面积		面积文本	带单位的面积文本	房屋信息	直接支持	queryContractFinanceData / 合同明细	houseArea	直接使用MCP。	与产权面积数值字段并存。	普通	否
28	合同信息导出	合同信息	楼层		楼层	房屋所在楼层	房屋信息	直接支持	queryContractFinanceData / 合同明细	houseFloor	直接使用MCP。		普通	否
29	合同信息导出	合同信息	装修		装修	房屋装修情况	房屋信息	直接支持	queryContractFinanceData / 合同明细	houseDecoration	直接使用MCP。		普通	否
30	合同信息导出	合同信息	成交周期	卖方/房东	房源成交周期	从房源录入到成交的周期	业务过程	直接支持	queryContractFinanceData / 合同明细	houseDealPeriod	直接使用MCP。		普通	否
31	合同信息导出	合同信息	卖方/房东 / 经纪人	卖方/房东	房源方经纪人	负责房源侧的经纪人	人员	直接支持	queryContractFinanceData / 合同明细	houseUserName	直接使用MCP。	若需组织层级仍需人员信息导出。	中敏	否
32	合同信息导出	合同信息	卖方/房东 / 职能	卖方/房东	房源方职能	房源方经纪人的职能	组织/人事	不支持			需要合同信息或人员信息导出。	MCP未提供经纪人职能字段。	中敏	是
33	合同信息导出	合同信息	卖方/房东 / 分组	卖方/房东	房源方分组	房源方经纪人所属分组	组织/人事	不支持			需要合同信息导出。	不能由通用deptName稳定拆分。	普通	是
